X,Y,PHI,IR1,LDR1,IR2,LDR2,IR3,LDR3,IR4,LDR4,IR5,LDR5,IR6,LDR6,IR7,LDR7,IR8,LDR8
48.7,78.5,315,2.1,258.4,2,256.3,132.4,170.3,135.6,56.9,135.5,41.5,138.8,48.4,2,64.3,57.95714286,237
48.7,78.5,337.5,1.9,265,112,242.1,156.2,61,83.5,42.5,159.5,33.3,116.2,60.9,1.9,95.5,1.971428571,260
48.7,108.5,0,1.8,248.4,58.1,229.1,7.4,80.1,123.8,48,151.5,41.8,1.8,71.6,2.3,101.8,11.9,252.4
48.7,108.5,22.5,10.4,234.8,20.8,186.7,99.3,64.4,139.8,36.9,119.5,46.5,2,79.7,2.3,218.8,2.1,257.7
48.7,108.5,45,2.3,217.4,2.4,83.8,136.4,45.2,131.6,31.7,2.3,53.3,2.3,113.9,2.4,244.9,12.4,258.6
48.7,108.5,67.5,2.3,176.3,100.2,58.1,152.2,32.5,123.6,31.6,9.4,64.9,1.9,226.6,2.1,254.1,11.8,244.1
48.7,108.5,90,17.3,72.6,135.7,31.8,144.1,30.6,29.1,54.5,1.7,91.9,2.1,248,2.4,245.6,44.9,230.5
48.7,108.5,112.5,111.1,56.9,147.6,23.9,128.4,47.3,2.5,75.5,1.4,200.5,2.5,253.6,2.4,243.5,86.7,181.7
48.7,108.5,135,77.5,39.8,160.2,27.1,2.2,55.8,2.3,96.1,1.8,227.7,2.3,260.9,6.4,220,32.3,70.3
48.7,108.5,157.5,139.5,34,112.1,31.5,8.5,69.7,12.2,209.5,1.8,246.5,2.4,253.7,47.3,181.5,103.1,49.9
48.7,108.5,180,136.1,28.3,2.3,46,2,100.9,2.2,238.9,1.9,248.3,5.5,229.9,14.8,89.9,127.2,27.4
48.7,108.5,202.5,98.7,38.2,12.4,58.5,1.9,219.3,1.9,251.1,2.1,240.8,23.1,178.7,97.7,67.9,147.2,17.9
48.7,108.5,225,20.3,50.8,2.2,87.9,2.3,234.5,2,250.5,7,221,6.7,86.8,118,47.5,135,15.1
48.7,108.5,247.5,20.3,66.7,1.7,206.7,2.4,242.7,1.6,251.1,52.3,168.8,92.2,67.4,134.6,41.4,139.4,18.2
48.7,108.5,270,2.2,92.8,1.9,246.9,2.3,240.2,2.1,228.3,19.6,78.1,124.3,52,134.5,36.1,77,32.4
48.7,108.5,292.5,2.3,208.9,2,256,2,231.6,21.5,190.3,99,63.9,151.2,44,130.7,45,98.4,49.1
48.7,108.5,315,2.8,227.3,2.4,257.8,2.1,224.3,21.6,89.2,135.6,47.9,143,45,2.6,56.6,40.5,83.1
48.7,108.5,337.5,90.7,239.4,2.9,255.4,37.9,168.8,74.4,67,160.1,33.8,120.3,53.2,43.2,74.3,25,218.4
